iter	Passed	Remaining
317	2617	5612
318	2621	5595
319	2636	5602
320	2670	5648
321	2682	5648
322	2686	5631
323	2691	5615
324	2704	5616
325	2720	5624
326	2738	5635
327	2751	5637
328	2772	5654
329	2787	5659
330	2802	5665
331	2815	5665
332	2818	5646
333	2830	5644
334	2835	5629
335	2841	5614
336	2846	5600
337	2852	5586
338	2865	5587
339	2869	5570
340	2898	5601
341	2917	5612
342	2922	5598
343	2932	5592
344	2939	5580
345	2944	5565
346	2962	5574
347	2971	5566
348	2980	5559
349	2993	5559
350	2998	5543
351	3008	5538
352	3011	5520
353	3016	5504
354	3024	5494
355	3028	5478
356	3038	5472
357	3041	5453
358	3044	5436
359	3050	5423
360	3054	5407
361	3064	5401
362	3068	5385
363	3076	5375
364	3080	5359
365	3084	5343
366	3093	5335
367	3098	5320
368	3125	5344
369	3128	5327
370	3133	5312
371	3139	5300
372	3143	5284
373	3148	5269
374	3153	5256
375	3156	5238
376	3159	5221
377	3167	5211
378	3169	5193
379	3172	5175
380	3174	5158
381	3184	5152
382	3188	5135
383	3198	5130
384	3201	5114
385	3205	5098
386	3210	5085
387	3214	5069
388	3216	5052
389	3219	5036
390	3225	5023
391	3228	5007
392	3231	4991
393	3235	4975
394	3242	4966
395	3245	4950
396	3248	4933
397	3254	4923
398	3258	4908
399	3261	4891
400	3264	4876
401	3271	4867
402	3274	4851
403	3279	4837
404	3287	4829
405	3290	4813
406	3293	4798
407	3296	4783
408	3300	4769
409	3303	4753
410	3306	4738
411	3308	4722
